attribute,chineseName,described,distribution,originalName,scientificName
,台灣牛膝,"Perennial herbs, 50–100 cm tall; stems quadrangular, nodes reddish-brown, sparsely pubescent.Leaves elliptic or oblong, 5–15 cm long, 3–8 cm wide, acute at both ends, sparsely pubescent.Inflorescence a terminal or axillary elongate spike, 10–30 cm long; bracts detoid, with long tips; bracteoles without teeth at base, basal auricles oblong, ca. 1 mm long; flowers sessile, deflexed in fruit; perianth segments 5, staminodes fimbriate on upper margins.Utricles cylindrical, ca. 4 mm long.","World:India, China(Yunan, Fukien) and the Ryukyus?Taiwan:Edges of forests and along roadsides throughout the island.",Achyranthes aspera var. rubro-fusca,Achyranthes aspera L.var. rubro-fusca (Wight) Hook. f.
,印度牛膝,"Perennial herbs, 50–100 cm tall; stems terete, densely pubescent.Leaves obovate or orbicular, 3–8 cm long, 1–4 cm wide, obtuse at apex, attenuate at base; petioles 5–10 mm long.Inflorescence a terminal elongate spike, 10–50 cm long; bracts ovate, with long tips; bracteoles ovate, half as long as spines or longer; flowers sessile, deflexed in fruit; perianth 5 mm long, segments linear; stamens 5, staminodes fimbriate on upper margins.Utricles oblong, ca. 3 mm long.","World:India, Malaysia, the Philippines, China and the Ryukyus?.Taiwan:Common in fields and on hillsides throughout the island.",Achyranthes aspera var. indica,Achyranthes aspera L.var. indica L.
,,,,Achillea millefolium,
,,,,Acer tutcheri var. shimadae,
Endemic,青楓,"Trees up to 20 m high; branchlets glabrous.Leaves palmately 5(very rarely 3 or 4)-lobed, lobes triangular-lanceolate to triangular-ovate, truncate to cordate at base, wholly rounded-cordate to badly orbicular in outline, 3.5–12 cm long, 4.5–16.5 cm broad, glabrous on both surfaces, veinlets reticulate, irregularly or duplicately crenate-serrate; petioles glabrous, 3–7.5 cm long, sometimes reddish on upper surfaces.Flowers small, in terminal corymbose cymes; the peduncle 3–5 cm long, glabrous; pedicels to 6 mm long; sepals 5, rounded-oblong, 2 mm long, hirsute towards the apex on outer surface, tomentose-ciliate at margins; disk into 8 lobes, thick, rounded; stamens 8, around and alternate to glands. Pistillate flowers: staminodes 5–8; anthers oblong, 1 mm long; filaments 1 mm long; ovary hirsute; styles 2, 2 mm long, connate at base. Staminate flowers 6 mm across; stamens 8, ca. 4 mm long, anthers oblong.Samara: each semicarp with the wing 1.8–2.5 cm long; lower edges of two wings divaricate at angles of (80-)105–140 degree.",Taiwan:Very common in forests at low to medium altitudes throughout the island.,Acer serrulatum,Acer serrulatum Hayata
Endemic,台灣掌葉槭,"Small trees; young branchlets slender, white-villose-pubescent, becoming glabrescent and glabrous.Leaves deeply 7-lobed, lobes lance-oblong, acuminate, cordate and 7-nerved at base, subcordate in outline, 2.3–5.5 cm long, 3–8 cm broad, subduplicately serrate, villose especialy on the veins on both surfaces; petioles glabrous, slender, kneed at base, 1.5–3.5 cm long.Inflorescence of small corymbs, densely villose-pubescent at first; the peduncle 1- 2.5 cm long; pedicels 5–6 mm long; flowers small; sepals 4, oppositely 2-formed, ovate-oblong or lanceolate, 2–3 mm long, 1-0.5 mm broad, more or less glabrous, slightly purplish; petals 4, roundish-ovate, 1–1.5 mm long, white; disk into 4 glands, distinct; stamens 4, around and alternate to glands. Pistillate flowers; ovary densely villose. Staminate flowers 6 mm across; stamens short; anthers and filaments each ca. 1 mm long.Each semicarp of samara with the wing ca. 2.5 cm long; lower edges of two wings spreading at angles of 120–130 degree.",Taiwan:Scattered in forest at medium latitudes of central to northern parts of Taiwan.,Acer palmatum var. pubescens,Acer palmatum Thunb.var. pubescens Li
Endemic,台灣紅榨槭,"Deciduous trees, 10–20 m high; branches glabrous.Leaves chartaceous, shallowly 5-lobed, the middle lobe shortly ovate, acuminate at apex, the lateral lobes smaller, acute to obtuse at apex, truncate or subcordate and 5-nerved at base, roundish-ovate in outline, 5–13 cm long, 4–11 cm broad, doubly serrate, green above, glabrous beneath; petioles 3–8.5 cm long.Flowers in racemes; the peduncle to 6 cm long; pedicels short; sepals 5, elliptic, hirsute at margins; petals 5, oblong-triangular, wavy at margins; disk into glands 8; stamens 8, around and alternate to glands. Pistillate flowers 5 mm across; staminodes short, 1 mm long; anther-apex acuminate; ovary roundish in facial view, pubescent; styles 2, long, recurved toward the base.Samara yellowish brown; each semicarp with the wing 1.8–2 cm long; lower edges of two wings divaricate at angles of (90-)115–135 degree.","Taiwan:In forests at medium altitudes of 1,800–2,300 m, central ranges.",Acer morrisonense,Acer morrisonense Hayata
Endemic,尖葉槭,"Trees, up to 20 m high; branchlets slender, glabrous.Leaves deciduous, chartaceous, usually undivided to shallowly 3-lobed, rarely distinctly 3- to 5-lobed, ovate to oblong-ovate, 2.5–11 cm long, 1–8 cm broad, caudate-acuminate at apex, rounded or slightly cordate at base, 5-nerved, subduplicately serrate, green above, pale green beneath, slightly pubescent on nerves at first, soon glabrous.Inflorescence of glabrous or slightly pubescent racemes, ca. 5 cm long. Flowers 9–10 mm across; pedicels 5–6 mm long, slender, glabrous; sepals 5, ovate-lanceolate, 2–2.5 mm long, glabrous; petals 5, white, rhomboid, 3.5–4 mm long, margin wavy; disk 8-lobed, thick; stamens 8, around the disk; connective upwards produced beyond anther cells. Pistillate flowers remarked by conspicuous carpels; ovary with large wings over petals, villose; styles 2, long, connate at basal part, recurved downwards, pubescent; staminodes 2 mm long; anthers basifixed. Staminate flowers: stamens long; filaments ca. 3 mm long; anthers with prominant connective over 1 mm long, dorsifixed.Samara yellowish brown; wings falcate, each wing with the semicarp 2.5–3.2 cm long, two lower edges of wings spreading at angles of 120–135 degree.",Taiwan:In forests from low to medium altitudes of the northern part of Taiwan.,Acer kawakamii,Acer kawakamii Koidz.
Endemic,台灣三角楓,"Trees, to 10 m high; branchlets glabrescent.Leaves deciduous, coriaceous, broadly 3-lobed or shallowly 3-lobed near apex, or entire, rounded or slightly cordate at base, 2–6 cm long, 1.5–7 cm broad, 3-nerved at base; reticulations conspicuous; petioles 0.7–5 cm long.Inflorescence cyme-corymbose.Samara yellowish brown; nutlets convex; wings falcate, each wing with the semicarp 1.5–2.5 cm long, divaricate between lower edges of two wings at ca. 70 degree.","World:Species in eastern China, the variety endemic to northern Taiwan.Taiwan:Sparcely scattered in forests of low altitudes.",Acer albopurpurascens var. formosanum,Acer albopurpurascens Hayatavar. formosanum (Matsum. & Hayata
Endemic,樟葉槭,"Trees, evergreen, up to 15 m high; branchlets pubescent at first, soon glabrous.Leaves persistent, oblong-lanceolate, 2.5–13 cm long, 1–4 cm broad, caudate to acuminate at apex, obtuse to cuneate at base, coriaceous, pale green and glabrous above, white-purplish glaucous beneath, densely pubescent when young, 3-nerved at base, nerves slightly raised beneath; petioles 0.7–3.5 cm long, glaucous.Flowers small; pedicels short, 1.5–2 mm long; sepals 5, rounded ovate; petals 5, oblong ovate; disk not distinct, hairy appendages abundant; stamens 8. Pistillate flowers 6 mm across; sepals 1.5 mm long, pubescent outside; petals 3 mm long; staminodes short, anthers oblong, 1 mm long, filament shorter; ovary broadly rounded, styles 2, long, recurved downwards. Staminate flowers 4.5 mm across; stamens 1.5 mm long. Inflorescence cymose.Samara glabrous; each wing with the semicarp 1.5–2.5 cm long; lower edges of two wings spreading at angles of 60–75 degree.",Taiwan:In forests from low to medium altitudes throughout the island.,Acer albopurpurascens,Acer albopurpurascens Hayata
,,,,Acanthus xiamenensis,
,,,,Acanthospermum australe,
,,,,Acanthopanax senticosus,
,台灣罈花蘭,"Pseudobulbs elongate ovoid to clavate, 7-15 cm long, 2.5-4 cm thick at base, tapering upwards, nodes 2-3, enclosed by triangular membranaceous scales.Leaves (2-)3 or 4, oblong, 30-40 cm long, 8-10 cm wide, mainly 9-nerved, apex acuminate, base decurrent into short petiole. Scape arising with new growth, 15-20 cm long, with 3 or 4 lanceolate scales below; bracts ovate or oblong, concave, 2.5-3 cm long, embracing pedicel; pedicel and ovary 4 cm long.Flowers 3-5, yellowish white, 4-4, 5 cm long; sepals with minute purple spots near inside apex, cohering into a tube, dorsal one elliptic, 3 cm long, 1.5 cm wide, apex rounded, lateral ones falcate-oblong, 4 cm long, 2 cm wide, mentum 2.5 cm long; petals spatulate, 2.5 cm long, apex obtuse, base strongly contracted; lip adnate to foot of column, long clawed, claw elongate rectangular, 2.2 cm long, blade 3-lobed, lateral lobes oblong, erect, central lobe ligulate, fleshy, obtuse at apex, disc with 3-5 ridges near base; column 1.3 cm long, foot 1.8 cm long.Chromosome number: A somatic chromosome count of 2n = 48 for a plant collected from Wulai, Taipei Hsien, Taiwan.","World:The Ryukyus, the Philippines, Thailand and the Himalaya.Taiwan:In forests at low elevations in mountainous regions and on Lanyu Is.",Acanthephippium sylhetense,Acanthephippium sylhetense Lindl.
,一葉罈花蘭,"Roots 3-4 mm in diam., densely hairy. Pseudobulbs elongate clavate, 6-15 cm long, fleshy, base 1-2 cm in diam., gradually tapering toward apex, narrowed into petiole, nodes 2-4, scales at nodes membranaceous.Leaves solitary, rarely 2, shortly petioled, oblong, 20-30 cm long, 7-10 cm wide, strongly plicate, mainly 5-nerved, apex acute, base decurrent; petiole articulated with pseudobulb. Scape 10-13 cm tall, base with many membranaceous scales; bracts ovate-oblong, 3 cm long; pedicel and ovary 3-3.6 cm long, glabrous.Flowers 4 or 5, crowded, with red stripes, tubular, 3.5-4.5 cm long; dorsal sepal elliptic, 2.3-2.5 cm long, 1.1-1.3 cm wide, obtuse; lateral sepals adnate to foot of column, triangular-falcate, 2.8-3.5 cm long, base 2.7 cm wide, oblique, apex acute, mentum with narrow tip; petals spatulate, 2-2.3 cm long, 1 cm wide, apex acute or obtuse, base narrowed; lip included in mentum, sagittate, 2.5 cm long, base long-clawed, apex 3-lobed, lateral lobes falcate, 1 cm long, central lobe triangular, with red spots or patches, disc with a yellow raised ridge between lateral lobes; column ca. 1 cm long, slightly curved, foot 1.8 cm long, often with red stripes and spots; anther white, 4 mm long, apex sharply pointed; pollinia clavate, 2-3 mm long, in 2 groups of 4, attached to a soft caudicle; rostellum exserted beyond stigma.Capsules erect, 5-6 cm long.Chromosome number: A somatic chromosome count of 2n = 48 for a plant collected from Pinglin, Taipei Hsien, Taiwan.","World:The Himalaya, Indochina, southern China, Malaysia and Java.Taiwan:In broad-leaved forests below 1500 m throughout the island.",Acanthephippium striatum,Acanthephippium striatum Lindl.
,延齡罈花蘭,"Terrestrial herb. Root about 3 mm in diameter. Pseudobulb fleshy, elongate clavate, about 13 cm long, 2.2-4 cm across.Leaves usually 3, stalk about 14 cm long, blade elliptic, about 20-50 cm long, 7-10 cm wide, lower leaf usually smaller, mainly 5-9-veins.Scape lateral from the new years growth, arising from the base of middle nodes of the pseudobulb, about 18 cm long. Inflorescence of raceme, flowers 3-5, dense, flowers whitish yellow and flushed tongue-shaped, about 1 cm long; column about 7 mm long; foot about 1.3 cm long, base adnated into a sac with lip and lateral sepals, pollinia 8, ellipsoid, in two groups of 4, two of these larger, and two smaller, yellow, with caudicle, no viscidium.Fruit held on long, erect stalks, ellipsoid, ridged.Chromosome number: 2n = 48.","World:The Ryukyus, Japan.Taiwan:Lanyu island",Acanthephippium pictum,Acanthephippium pictum Fukuy.
,蕉蘭,"Stems stout, 1 m or more long, 1-2 cm in diam., rooting near base, roots thick and rigid.Leaves linear, 25-30 cm long, 4-5 cm wide, thick coriaceous, yellowish green, apex rounded and slightly oblique, base decurrent into sheath; sheaths tube like, embracing stem, 3 cm long.Racemes lateral from upper part of stem, subcorymbose; bracts scale-like, 3-4 mm long, 5-6 mm wide; pedicel and ovary 11-13 mm long. Flowers pale yellow with red transverse stripes, ca. 1.8 cm in diam.; dorsal sepals oblanceolate, 13-15 mm long, 7-8 mm wide, apex rounded; lateral sepals obovate, slightly oblique, 13-15 mm long, 7-9 mm wide, obscurely keeled outside; petals oblanceolate falcate, 12-13 mm long, 4-5 mm wide, apex obtuse, base contracted; lip fleshy, whitish above, yellowish below, 1 cm long, base saccate, blade 3-lobed, lateral lobes erect, broadly triangular, midlobe ovate or oblong, recurved at apex, thickened at base, disc pubescent, sac shallowly conic, pubescent inside; column 2 mm high; anther cap semispherical, 2 mm long; pollinia globose, 0.8 mm in diam.; stipe slender viscidium rhombic, 2-fid.Capsules nearly cylindrical, 5-6 cm long.","World:Southern China, eastern Himalaya, northern Assam, Thailand, Indochina, Sri Lanka and Malaysia.Taiwan:On exposed rocks and precipices along rivers at low elevations.",Acampe rigida,Acampe rigida (Buch.-Ham ex J. E. Sm.) Hunt
,,,,Acalypha wilkesiana,
Endemic,花蓮鐵莧,"A subshrub; branchlets densely pubescent.Leaves chartaceous, ovate, 12–20 cm long, 8–15 cm broad, the apex caudate-acuminate, the base obtuse or truncate rounded, the margins subentire, the lower surface glabrescent, densely hirsute in the axils of secondary veins; petioles 8–15 cm long, tomentose.Female spikes very slender, axillary, solitary, 20–25 cm long; peduncles 4–5 cm. Female flowers very remotely arranged on the rachis, sessile, 1-bracteate, the bracts small, ovate, 1 mm long, densely hirsute on the external surface; sepals 3, ovate, l mm long, concave; styles 2–5 mm long, finely branched; ovary depressed-globose, 1.5 mm across, 1.4 mm long, pubescent.Capsules 3-lobed, 4 mm wide; seeds ovoid, 2 mm long, 1 mm wide.",Taiwan:Endemic. Known from Hualien along the eastern coast.,Acalypha suirenbiensis,Acalypha suirenbiensis Yamamoto
Cultivated,菱葉鐵莧,,,Acalypha siamensis,Acalypha siamensis Gagnep.
Cultivated,紅尾鐵莧,,,Acalypha reptans,Acalypha reptans Sw.
Endemic,恆春鐵莧,"Undershrub; branches red-purplish, more or less hirsute.Leaves mem¬branaceous, oblong-lanceolate, 5–8 cm long, 1.5–3 cm broad, the apex acuminate, apiculate, the base obtuse to rounded, the margins serrulate, both surfaces subglabrous; petioles 1–2 cm long, hirsute.Spikes androgynous, axillary, 3–4 cm long, erect. Male flowers at base of spike, 5–6 at each node; bracts minute, ovate; sepals 4, oblong. Female flowers solitary, each with a bract.Capsules 3-lobed, hirsute; seeds complanate-ovoid, about 1.5 mm long, 1 mm broad, smooth, the apex short-beaked.",Taiwan:Endemic. Confined to Hengchun Peninsula.,Acalypha matudai,Acalypha matudai Hayata
,,,,Acalypha longi-acuminata,
Endemic,小葉鐵莧,"An annual herb, up to 30 cm high; stems woody near base, pilose above.Leaves subrhomboid-ovate, 1–1.5 cm long, 0.7–1.3 cm broad, the apex acute, the base cuneate, the margin crenate, both surfaces sparingly setose-villose.Spike 0.5–1 cm long; fruit bearing bracts triangular-ovate, cordate, 2–4 mm long, 5–8 mm broad, the margins dentate, setose-villose.Capsule 3-lobed, 2–3 mm long, short-pilose.",Taiwan:Endemic. This variety inhabits open seaside in the southern part.,Acalypha indica var. minima,Acalypha indica L.var. minima (Keng) Huang & Huang
,,,,Acalypha indica var. indica,
Endemic,紅頭鐵莧,"A shrub; branches tomentose.Leaves thinly chartaceous, cordate-orbicular, 12–18 cm long, 12–16 cm broad, the apex caudate-acuminate, the base obliquely truncate-cordate, the margins crenate-serrate, the nerve-axils hirsute beneath; petioles slender, 8–20 cm long, tomentose.Female spikes axillary, solitary, 6–10 cm long; peduncles 0.5–2 cm long; bracts triangular, about 1 mm long, densely hirsute without. Female flowers with 3 sepals, ovate, about 3 mm long; styles 2.5–3 mm long.",Taiwan:Endemic to Is. Lanyu only.,Acalypha hontauyuensis,Acalypha hontauyuensis Keng
,蘭嶼鐵莧,"A small tree.Leaves chartaceous, broadly ovate to cordate, 8–13 cm long, 6–12 cm broad, the apex acuminate, the base cordate, truncate or rounded, the margins serrulate, densely pubescent in the nerve-axils beneath; petioles 8–10 cm long, hairy; stipules linear-lanceolate, 13 mm long. Inflorescences axillary, unisexual, rarely androgynous.Male spikes 8–20 cm long. Female spikes 5–6 cm long, solitary; bracts broadly reniform, 4–5 mm long, acute; bracteoles 2; sepals 3, ovate, pubescent; ovary 2-celled, pubescent; styles 2, 2–3 mm long.Capsules 3-lobed; seeds obliquely ovoid, about 1.5 mm long.","World:The Philippines, Celebes, Java, Sumatra and Borneo.Taiwan:Confined to Is. Lanyu.",Acalypha caturus,Acalypha caturus Bl.
,短序鐵莧菜,"A slender annual herb, about 30 cm high; stem sulcate, tomentose and mingled with long straight hairs.Leaves ovate, acuminate with obtuse tip, base slightly cordate or rounded, 2.8–4.5 cm long, 1.5–2.4 cm broad, margin serrate, teeth rounded, with long straight hairs along veins and veinlets at both surfaces; petioles tomentose and mingled with long straight hairs, 1–3.5 cm long.Spike axillary, shorter than bract: male flowers inserted at the upper portion, very small, ebracteate, sepals 4, yellowish brown when dry, valvate in bud; filament 8; female flowers inserted at the lower portion, bract deeply 3-fided, fid lanceolate, rounded at apex , with hairs and glandular hairs, sometimes the lateral lobes with one auricles at base; sepals laciniate at the apex.Fruit a capsule, 3-celled. Seeds 3 in each capsule, oval, brown, about 1.5 mm long, carunculate.","World:Tropical Africa, India, China and Java.Taiwan:Confined to the forest floor beside brooks in the southern area at elevation of 1120 m.",Acalypha brachystachya,Acalypha brachystachya Hornem.
,鐵莧菜,"An annual herb up to 1 m high; stems erect, branched, hirsute or nearly glabrous.Leaves membranaceous, lanceolate to ovate-lanceolate, 2–6 cm long, 1–3 cm broad, the apex acuminate, the base acute or rounded, the margins obtusely serrate, sparsely pilose, 3-nerved at base; petioles 2–5 cm long. Spikes axillary, androgynous, short-pedunculate, 1–4 cm long.Male flowers at the top of the spikes, small, naked. Female flowers at the base of the spikes; bracts reniform, 1–1.5 cm long, acuminate; sepals ovate, ciliate; ovary pilose; styles 3 mm long.Capsules 3 mm across, pilose; seeds 1.5–2 mm long, smooth.","World:Ussuri, Korea, Japan, the Ryukyus, China and the Philippines.Taiwan:Throughout the whole island at low altitudes.",Acalypha australis,Acalypha australis L.
Naturalized,南美鐵莧,"Annual herbs, 30-50 cm tall, the stem erect, 2-3 mm wide, green flushed with purplish red, densely hispid with appressed, incurved hairs, somewhat woody at
base.Leaves alternate; blades rhomboid, ovate to broadly ovate, 4-7 cm long and 3-4 cm wide, acute to obtuse at apex, rounded to slightly cordate at base, pubescent above and below, hispid on veins, palmately 5-veined, the margins crenate-serrate; petioles 2-3 cm long, densely hispid with appressed, incurved hairs; stipules lanceolate, 1.5-3 mm long, hispid.Inflorescence spicate, axillary. Staminate spikes with peduncles up to 1 cm long, ellipsoidal, 5 mm long and 2 mm wide. Staminate flowers densely clustered, 5-8 at a node and subtended by a bract, the bract oblong, 0.5-0.8 mm long, hispid, with a long apical bristle up to 8 mm long and smaller bristles on margins, pedicels up to 0.6 mm long, hispidulous; petals lacking; calyx lobes 4, ovate, 0.3 mm long and wide, purplish red, hispidulous and tuberculate outside; stamens 8 in clusters, white, anthers elongated, 0.3 mm long, pendent, filaments 0.2 mm long. Pistillate spikes ellipsoidal to short cylindrical, 1-2.5 cm long, 1-1.3 cm wide, with a terminal bristlelike projection 5-15 mm long, the projection purplish red, hispidulous, bearing 3-5 nodes of staminate flowers at base and a terminal T-shaped abnomal pistllate flower. Pistillate flowers solitary, sessile, subtended by a foliaceous bract and usually 2-4 extra bractlets, the bracts ovate, 4-7 mm long, 2-3 mm wide, hispid with 5 bristlelike lobes 1.5-2 mm long, the bractlets linear, 1 mm long, hispid; petals lacking; calyx lobes 3, lanceolate, hispidulous, styles 3, elongated, 4-5 mm long, stigma red, divided into filiform segments 2 mm
long.Capsules ovoid, 3-lobed, 3 mm across, hispidulous, with persistent styles. Seeds 3, ellipsoidal, carunculate, 1.5mm long, 1 mm wide, gray with blackish brown spots, punctate on the surface.","World:Native from Mexico, the West Indies south to Panama, Venezuela, Peru and Brazil.Taiwan:In Hualien County. It is found on dry, sandy soils, along orchards, shrub borders,
unmanaged meadows, and in waste areas.",Acalypha aristata,Acalypha aristata Kunth
,台灣鐵莧,"A shrub; branches hirsute.Leaves membranaceous, long-petiolate, rounded-ovate, 18–23 cm long, 13–15 cm broad, the apex cuspidate-acute, the base broadly rounded, the margins serrulate, rarely hirsute; petioles 8–10 cm long; stipules acuminate-ovate, 8 mm long.Female spikes axillary, solitary, slender, 7 cm long; peduncles 1 cm long; each flower subtended by a semi-orbicular, 10-dentate bract, about 5 mm long, 7 mm broad; sepals 3, ovate, ciliate; ovary globose, 3-lobed, about 0.7 mm long, hirsute; styles about 4 mm long.","World:The Philippines.Taiwan:Mainly in the central-southern part, in thickets at medium altitudes.",Acalypha angatensis,Acalypha angatensis Blanco
Endemic,屏東鐵莧,"A shrub; branches reddish, terete, subglabrous.Leaves membranaceous, ovate, 12–16 cm long, 8–11 cm broad, the apex cuspidate-acute, the base cuneate-cordate or rounded-cordate, the margins serrulate, sparingly pilose on both surfaces; petioles 6–9 cm long, densely pubescent; stipules lanceolate, 12 mm long, acuminate.Male spikes filiform, recurved, 16–20 cm long, villose; peduncles 1 cm long. Female spikes slender, 5–9 cm long, pubescent; peduncles 1 cm long; bracts ovate, 3.5 mm long, 5 mm broad, 10-dentate, pubescent outside; bracteoles minute; ovary 3-lobed, hirsute; styles about 2.5 mm long.",Taiwan:Endemic. In the central and southern parts at low altitudes.,Acalypha akoensis,Acalypha akoensis Hayata
Naturalized,金合歡,"An erect shrub, the branches zigzag with forking prickles, 2–4 m high, the stipular spines sharp.Leaves pinnate, 5–8 cm long; leaflets 10–20 pairs, linear-oblong, 4–7 mm long; glands on the upper part of petiole. Inflorescence in pedunculate axillary heads, 1–4 heads together, subglobose, 2.5–3 cm long;Flowers yellow, fragrant, 4–5 mm across; stamens numerous.Pods turgid, 5–7 cm long, 1–1.5 cm wide, straight or falcate, oblique-striate, acute apex. Seeds compressed, elliptic.","World:A native of tropical America, now pantropic.Taiwan:Taiwan, widely distributed in the southern part of the island.",Acacia farnesiana,Acacia farnesiana (L.) Willd.
Cultivated,銀栲,"A tree, up to 12 m high; branchlets glabrous, angular.Leaves with 6–12 pinnae, each with 30–50 leaflets; petiole-glands a little lower at the middle portion of petiole; leaflets obliquely lanceolate, the main vein near to one side of margin, 0.8–1.3 cm long, 0.2-0.4 cm wide, the base truncate, nearly at right angle.Flowers in racemose globose-head, the filaments light pink.Pods flat, 5–10 cm long. 1.3–1.5 cm wide.","World:Iran to China.Taiwan:Taiwan, along river banks at low to medium altitudes, occasionally cultivated.",Acacia dealbata,Acacia dealbata Link.
,相思樹,"An evergreen tree, the trunk up to 1 m across.Phyllodia sessile, alternate, coriaceous, lanceolate, falcate, 8–10 cm long, attenuate at both ends, 3–5 parallel veined.Flowers on simple, terminal golden-yellow heads, 6–9 mm wide.Pods punctate, septate, acute ends, 5–10 cm long, 8 mm across, containing 7–8 seeds.","World:N. Philippines.Taiwan:Taiwan, throughout the island, very common in secondary forest and wastelands.",Acacia confusa,Acacia confusa Merr.
,藤相思樹,"A climbing shrub; branches and petioles angular, densely short reflexd prickled.Leaves bipinnate; pinnae 6–16; leaflets 30–60, linear-oblong, subcoriaceous, 4–5 mm long; glands round at the base of pinnae and square at the upper part of petiole.Flowers yellow, in panicled heads, 1–1.1 cm across.Pods straight, ovoid-cylindric, smooth, persistent bract, dehiscent, 6–10 cm long, 2 cm wide, containing 8–12 seeds.","World:Indo-Malaya;Taiwan:Taiwan, in secondary forests at low altitudes, rather scarce.",Acacia caesia,Acacia caesia (L.) Willd.
Naturalized,風鈴花,,,Abutilon striatum,Abutilon striatum Dicks. ex Lindl.
,畿內冬葵子,"An erect suffrutescent herb, ca. 0.5–1 m tall, branched, pubescent.Leaves orbicular to broadly ovate, ca. 4.5–11.5 cm long, 3.5–12 cm wide; apex acute or acuminate; base cordate; margin irregularly crenate, dentate or entire; tomentose and stellate hairy on both surfaces; petioles 3.0–10.5 cm long, pubescent; stipules linear.Inflorescence solitary or paniculate, axillary or terminal; pedicels ca. 2.5–7.0 cm long, pubescent. Flowers yellow; calyx green, disc-shaped, stellate, 5-lobed, segments broadly ovate or triangular, ca. 1.0–1.6 cm long, apex acute; corolla ca. 2.0–2.5 cm across, petals 5, yellow, glabrous or nearly, ca. 1.5 cm long; staminal tube glabrous; carpels 15–22, densely pubescent.Capsules compressed globular or millstone-like, ca. 1.5–2.5 cm across, composed 15–22 pubescent carpels, with beaked at apex; persistent calyx as long as capsule; seeds many, dark brown, ca. 0.2-0.4 cm long, sparse bristle.","World:Distributed in tropical and subtropical Asia, Africa, Australia area, mainly in south hemisphere. The taxon distributed in Guinea, Malaysia, Indonesia, Australia, tropical Africa and Taiwan.Taiwan:Found along seaside, sand places or sometimes waste places.",Abutilon indicum var. guineense,Abutilon indicum (L.) Sweetvar. guineense (Schumach.) Feng
,冬葵子,"An erect suffrutescent herb, ca. 1.0–2.5 m tall, branched, pubescent.Leaves ovate to orbicular, ca. 2.0–10 cm long, 3,0–11 cm wide; apex acute or acuminate; base cordate; margin entire or irregularly toothed; stellate on both surfaces; petioles 3.5–13 cm long, pubescent; stipules linear.Inflorescence solitary or paniculate, axillary or terminal; pedicels ca. 2.0–7.0 cm long, pubescent. Flowers yellow; calyx green, disc-shaped, pubescent, 5-lobed, segments broadly ovate or triangular, ca. 0.35-0.6 cm long, apex acute; corolla ca. 2.0–2.5 cm across, petals 5, yellow, glabrous or nearly, ca. 0.7-0.8 cm long; staminal tube stellate-hirsute; carpels 15–20, densely pubescent.Capsules compressed globular or millstone-like, ca. 1.2–2.5 cm across, composed 15–20 pubescent carpels, with beaked at apex; persistent calyx much shorter than capsule; seeds many, dark brown, ca. 0.3 cm long, almost glabrous or sometimes with sparse bristle.","World:Tropical and subtropical Asia, from India, Sri Lanka, Burma, China (Yunnan, Guizhou, Guangxi, Hainan, Guangdong, Fujiang), Thailand, Cambodia, Laos, Veitnam to Taiwan, and south to Indonesia.Taiwan:Common through whole island, especially in waste places or along roadside.",Abutilon indicum,Abutilon indicum (L.) Sweet
,,,,Abutilon hulseanum,
,毛莔,,,Abutilon hirtum,Abutilon hirtum (Lamk.) Sweet
Naturalized,大葉莔,,,Abutilon grandifolium,Abutilon grandifolium (Will.) Sweet
Naturalized,泡果莔,"A suffrutescent herb, usually creeping. Stem pubscent.Leaves cordate, ca. 4.0–7.0 cm long, 3.0–6.0 cm wide; apex acuminate; base cordate; margin crenate to serrate; stellate on both surfaces; petioles sessile or near so, ca. 0.2-0.5 cm long; stipules linear.Flowers yellow, solitary and axillary; pedicels 2.0–4.0 cm long; calyx green, disc-shaped, densely pubescent, 5-lobed, segments ovate, ca. 0.3-0.4 cm long, apex acuminate; corolla ca. 1.0 cm across, petals 5, yellow, glabrous, obovate or broadly obovate, ca. 0.5 cm long; staminal tube glabrous; carpels about 15, densely pubescent.Capsules globular or pumpkin-form, ca. 1.0–2.0 cm across, composed of 10–15 pubesent carpels, without beaked at apex; persistent calyx much shorter than capsule; seeds many, dark brown, ca. 0.2 cm long, sparse bristle.","World:The species originally distributed around tropical and subtropical America, and now it is found from Australia, Vietnam, Mainland China (Hainan Prov.) and India.Taiwan:Only found in waste places or along roadside of central part of the island.",Abutilon crispum,Abutilon crispum (L.) Medicus
,雞母珠,"A climbing shrub, much branched, the branches slender.	Leaves 5–8 cm long, deciduous; leaflets 20–40, membranaceous, rhomboid, 2–3 cm long.	Pseudoracemes many-Flowered, axillalry; corolla reddish or white.Pods ellipsoid, 2.5–4 cm long, containing 4–6 seeds. Seeds bright scarlet, with a black spot on one side.","World:	Pantropics;Taiwan:Taiwan, in dry and open places, including thickets secondary forest, windbreak, waste place or along the rivers on the central and southern part.",Abrus precatorius,Abrus precatorius L.
Endemic,台灣冷杉,,,Abies kawakamii,Abies kawakamii (Hayata) Ito
