通稱,name,scientificName,chineseName,attribute,described,distribution
疣柄魔芋;南天星;巨花蒟蒻;雷公銃,Amorphophallus paeoniifolius,,,,,
毛山葡萄,Ampelopsis brevipedunculata var. ciliata,,,,,
漢氏山葡萄;山葡萄,Ampelopsis brevipedunculata var. hancei,,,,,
廣東山葡萄,Ampelopsis cantoniensis,,,,,
大葉廣東山葡萄,Ampelopsis cantoniensis var. leecoides,,,,,
三裂葉蛇葡萄;赤木通;大接骨丹;綠葡萄;五爪龍,Ampelopsis delavayana,,,,,
,Ampelopsis glandulosa var. heterophylla,,,,,
,Ampelopsis japonica,,,,,
野毛扁豆,Amphicarpaea bracteata subsp. edgeworthii var. japonica,,,,,
琉璃繁縷,Anagallis arvensis,,,,,
小海綠,Anagallis minima,,,,,
鳳梨,Ananas comosus,,,,,
金邊鳳梨,Ananas comosus cv. Variegatusa,,,,,
蓬萊籟簫,Anaphalis horaimontana,,,,,
玉山抱莖籟簫,Anaphalis morrisonicola,,,,,
尼泊爾籟簫,Anaphalis nepalensis,,,,,
能高籟簫,Anaphalis royleana,,,,,
小兜蕊蘭,Androcorys pusillus,,,,,
穿心蓮,Andrographis paniculata,,,,,
地錢草,Androsace umbellata,,,,,
知母,Anemarrhena asphodeloides,,,,,
匍枝銀蓮花;三花銀蓮花,Anemone stolonifera,,,,,
小白頭翁;野棉花,Anemone vitifolia var. matsudae,,,,,
野當歸;臺灣當歸,Angelica dahurica var. formosana,,,,,
濱當歸,Angelica hirsutiflora,,,,,
森氏當歸,Angelica morii,,,,,
玉山當歸,Angelica morrisonicola var. morrisonicola,,,,,
南湖當歸,Angelica morrisonicola var. nanhutashanensis,,,,,
台灣當歸 ,Angelica taiwaniana,,,,,
太魯閣當歸,Angelica tarokoensis,,,,,
天使花,Angelonia salicariifolia,,,,,
小穎溝稃草,Aniselytron agrostoides,,,,,
溝稃草,Aniselytron treutleri,,,,,
金劍草;魚針草,Anisomeles indica,,,,,
細葉茶梨,Anneslea lanceolata,,,,,
圓滑番荔枝,Annona glabra,,,,,
山刺番荔枝,Annona montana,,,,,
刺番荔枝,Annona muricata,,,,,
牛心梨,Annona reticulata,,,,,
番荔枝;釋迦,Annona squamosa,,,,,
冠萼蔓錦葵,Anoda cristata,,,,,
小錦蘭,Anodendron affine,,,,,
大錦蘭,Anodendron benthamiana,,,,,
臺灣金線蓮,Anoectochilus formosanus,,,,,
恆春金線蓮;高雄金線蓮,Anoectochilus koshunensis,,,,,
洋落葵;川七;落葵薯;馬德拉藤;藤三七,Anredera cordifolia,,,,,
羅馬洋甘菊,Anthemis nobilis,,,,,
臺灣黃花茅,Anthoxanthum horsfieldii var. formosanum,,,,,
香黃花茅;黃花茅,Anthoxanthum odoratum,,,,,
花燭;火鶴花,Anthurium andraeanum,,,,,
絨葉花燭,Anthurium magnificum,,,,,
南投五月茶,Antidesma japonicum var. acutisepalum,,,,,
密花五月茶,Antidesma japonicum var. densiflorum,,,,,
枯里珍,Antidesma pentandrum var. barbatum,,,,,
紅頭五月茶,Antidesma pleuricum,,,,,
珊瑚藤,Antigonon leptopus,,,,,
金魚草,Antirrhimum majus,,,,,
小金魚草,Antirrhinum orontium,,,,,
穗花樹蘭,Aphanamixis polystachya,,,,,
糙葉樹,Aphananthe aspera,,,,,
山林無葉蘭,Aphyllorchis montana,,,,,
臺灣土圞兒,Apios taiwanianus,,,,,
芹菜,Apium graveolens var. dulce,,,,,
細葉芹菜,Apium integrilobum,,,,,
水蔗草,Apluda mutica,,,,,
水蕹,Aponogeton taiwanensis,,,,,
長葉竹葉蘭,Appendicula fenixii,,,,,
多枝竹節蘭,Appendicula lucbanensis,,,,,
臺灣竹節蘭,Appendicula reflexa,,,,,
花蔓草,Aptenia cordifolia,,,,,
葉芽筷子芥,Arabidopsis halleri subsp. gemmifera,,,,,
玉山筷子芥,Arabidopsis lyrata subsp. kamtschatica,,,,,
臺灣筷子芥,Arabis formosana,,,,,
齒葉南芥,Arabis serrata,,,,,
基隆筷子芥,Arabis stelleri,,,,,
蔓花生,Arachis duranensis,,,,,
多年生花生,Arachis glabrata,,,,,
落花生;長生果;土豆,Arachis hypogaea,,,,,
龍爪蘭,Arachnis labrosa,,,,,
野?頭;鳥不宿;虎刺?木,Aralia armata,,,,,
裡白?木;裏白蔥木,Aralia bipinnata,,,,,
食用土當歸,Aralia cordata,,,,,
鵲不踏;臺灣毛?木;臺灣?木;黃毛木,Aralia decaisneana,,,,,
虎刺?木,Aralia finlaysoniana,,,,,
頷垂豆;亮葉猴耳環,Archidendron lucidum,,,,,
牛蒡,Arctium lappa,,,,,
大葉紫金牛,Ardisia arborescens,,,,,
屯鹿紫金牛;短莖紫金牛,Ardisia brevicaulis,,,,,
華紫金牛,Ardisia chinensis,,,,,
雨傘仔,Ardisia cornudentata subsp. cornudentata,,,,,
玉山紫金牛,Ardisia cornudentata subsp. morrisonensis,,,,,
珠砂根;鐵雨傘,Ardisia crenata,,,,,
百兩金,Ardisia crispa,,,,,
蘭嶼紫金牛,Ardisia elliptica,,,,,
紫金牛,Ardisia japonica,,,,,
高士佛紫金牛,Ardisia kusukuensis,,,,,
麥氏紫金牛,Ardisia maclurei,,,,,
輪葉紫金牛,Ardisia pusilla,,,,,
小葉樹杞,Ardisia quinquegona,,,,,
樹杞,Ardisia sieboldii,,,,,
春不老,Ardisia squamulosa,,,,,
雪下紅,Ardisia villosa,,,,,
裡菫紫金牛,Ardisia violacea,,,,,
黑星紫金牛,Ardisia virens,,,,,
檳榔,Areca catechu,,,,,
無心菜;鵝不食草,Arenaria serpyllifolia,,,,,
亞毛無心菜,Arenaria subpilosa,,,,,
高山無心菜,Arenaria takasagomontana,,,,,
山棕,Arenga engleri,,,,,
山棕,Arenga tremula,,,,,
薊罌粟,Argemone mexicana,,,,,
水冠草,Argostemma solaniflorum,,,,,
屏東朝顏,Argyreia akoensis,,,,,
鈍葉朝顏,Argyreia formosana,,,,,
脈葉朝顏,Argyreia nervosa,,,,,
赤楊葉梨,Aria alnifolia,,,,,
長行天南星;長尾葉天南星;雷公銃,Arisaema consanguineum,,,,,
臺灣天南星,Arisaema formosanum,,,,,
毛筆天南星,Arisaema grapsospadix,,,,,
羽葉天南星;異葉天南星,Arisaema heterophyllum,,,,,
宜蘭天南星,Arisaema ilanense,,,,,
線花天南星;畫筆南星,Arisaema matsudae,,,,,
南仁山天南星,Arisaema nanjenense,,,,,
申跋;小天南星;油跋,Arisaema ringens,,,,,
蓬萊天南星,Arisaema taiwanense,,,,,
短梗天南星,Arisaema taiwanense var. brevipedunculatum,,,,,
東臺天南星,Arisaema thunbergii subsp. autumnale,,,,,
華三芒草,Aristida chinensis,,,,,
瓜葉馬兜鈴;青香木,Aristolochia cucurbitifolia,,,,,
蜂窩馬兜鈴,Aristolochia foveolata,,,,,
異葉馬兜鈴,Aristolochia heterophylla,,,,,
大葉馬兜鈴,Aristolochia kaempferi,,,,,
裕榮馬兜鈴,Aristolochia yujungiana,,,,,
港口馬兜鈴,Aristolochia zollingeriana,,,,,
海石竹,Armeria maritima,,,,,
燕麥草,Arrhenatherum elatius,,,,,
變葉燕麥草,Arrhenatherum elatius f. variegatum,,,,,
鷹爪花,Artabotrys hexapetalus,,,,,
黃花蒿,Artemisia annua,,,,,
珍珠蒿;奇蒿,Artemisia anomala,,,,,
茵陳蒿,Artemisia capillaris,,,,,
黃毛蒿,Artemisia chingii,,,,,
濱艾,Artemisia fukudo,,,,,
艾;五月艾;白葉蒿;北艾;西南牡蒿,Artemisia indica,,,,,
牡蒿,Artemisia japonica,,,,,
山艾,Artemisia kawakamii,,,,,
角菜,Artemisia lactiflora,,,,,
小艾;矮蒿,Artemisia lancea,,,,,
細葉山艾,Artemisia morrisonensis,,,,,
玉山艾,Artemisia niitakayamensis,,,,,
高山艾,Artemisia oligocarpa,,,,,
黃蒿,Artemisia scoparia,,,,,
中南蒿,Artemisia simulans,,,,,
太魯閣艾,Artemisia somae var. batakensis,,,,,
相馬氏艾;臺灣狹葉艾,Artemisia somae var. somai,,,,,
雪山艾,Artemisia tsugitakaensis,,,,,
藎草,Arthraxon hispidus,,,,,
小葉藎草;小藎草,Arthraxon lancifolius,,,,,
內門竹;恆春青籬竹;恆春矢竹,Arthrostylidium naibunensis,,,,,
麵包樹,Artocarpus altilis,,,,,
波羅蜜,Artocarpus heterophyllus,,,,,
麵包樹,Artocarpus incisus,,,,,
小波羅蜜,Artocarpus integer,,,,,
猴面果,Artocarpus lakoocha,,,,,
香波羅,Artocarpus odoratissimus,,,,,
蘭嶼麵包樹,Artocarpus xanthocarpus,,,,,
葦草蘭;鳥仔花,Arundina graminifolia,,,,,
大明竹;四季竹;大妨竹;青葉竹;四時竹;通絲竹,Arundinaria graminea,,,,,
邢氏苦竹;寒山竹;四時竹;篲竹,Arundinaria hindsii,,,,,
琉球矢竹;仰葉竹,Arundinaria linearis,,,,,
空心苦竹;水苦竹;川竹;苦竹;女竹;皮竹,Arundinaria simonii,,,,,
稚子竹,Arundinaria variegata,,,,,
野古草;毛稈野古草,Arundinella hirta,,,,,
尼泊爾火茅,Arundinella nepalensis,,,,,
毛野古草,Arundinella pubescens,,,,,
刺芒野古草,Arundinella setosa,,,,,
蘆竹,Arundo donax,,,,,
臺灣蘆竹,Arundo formosana,,,,,
杜衡,Asarum blumei,,,,,
薄葉細辛,Asarum caudigerum,,,,,
插天山細辛,Asarum chatienshanianum,,,,,
鴛鴦湖細辛,Asarum crassusepalum,,,,,
上花細辛,Asarum epigynum,,,,,
下花細辛,Asarum hypogynum,,,,,
大花細辛,Asarum macranthum,,,,,
薩摩細辛,Asarum satsumense,,,,,
太平山細辛,Asarum taipingshanianum,,,,,
大武山細辛,Asarum tawushanianum,,,,,
神秘湖細辛,Asarum villisepalum,,,,,
八重山細辛,Asarum yaeyamense,,,,,
尖尾鳳,Asclepias curassavica,,,,,
番瑞香,Asclepias odoratissima,,,,,
釘頭果;鈍釘頭果,Asclepias physocarpa,,,,,
天門冬,Asparagus cochinchinensis,,,,,
武竹,Asparagus densiflorus var. sprengeri,,,,,
蘆筍,Asparagus officinalis,,,,,
文竹,Asparagus setaceus,,,,,
大武蜘蛛抱蛋,Aspidistra daibuensis,,,,,
臺灣蜘蛛抱蛋;薄葉蜘蛛抱蛋,Aspidistra elatior var. attenuata,,,,,
霧社蜘蛛抱蛋,Aspidistra mushaensis,,,,,
山白蘭,Aster ageratoides,,,,,
臺東鐵桿蒿,Aster altaicus,,,,,
華南狗娃花;華南鐵桿蒿,Aster asa-grayi,,,,,
清水馬蘭,Aster chingshuiensis,,,,,
華南狗娃花,Aster ciliosus,,,,,
臺灣山白蘭,Aster formosanus,,,,,
狗娃花;砂狗娃花,Aster hispidus,,,,,
雞兒腸,Aster indicus,,,,,
大武山紫菀,Aster itsunboshi,,,,,
絨山白蘭,Aster lasiocladus,,,,,
玉山鐵桿蒿;玉山紫菀,Aster morrisonensis,,,,,
臺灣狗娃花,Aster oldhamii,,,,,
臺灣紺菊;卵形紫菀,Aster ovalifolius,,,,,
琴葉紫菀;福民紫菀;崗邊菊,Aster panduratus,,,,,
島田氏雞兒腸,Aster shimadae,,,,,
掃帚菊,Aster subulatus,,,,,
澤掃帚菊,Aster subulatus var. sandwicensis,,,,,
掃帚菊,Aster subulatus var. subulatus,,,,,
臺灣馬蘭,Aster taiwanensis,,,,,
雪山馬蘭,Aster takasagomontanus,,,,,
桃園馬蘭,Aster taoyuenensis,,,,,
陀螺紫菀,Aster turbinatus,,,,,
落新婦,Astilbe longicarpa,,,,,
阿里山落新婦,Astilbe macroflora,,,,,
裂葉巴豆,Astraea lobata,,,,,
南湖大山紫雲英,Astragalus nankotaizanensis,,,,,
能高大山紫雲英,Astragalus nokoensis,,,,,
紫雲英;翹搖,Astragalus sinicus,,,,,
大野牡丹;大葉金石榴;繡葉野牡丹;褐鱗木;銹葉野牡丹,Astronia formosana,,,,,
赤道櫻草,Asystasia gangetica subsp. gangetica,,,,,
小花寬葉馬偕花,Asystasia gangetica subsp. micrantha,,,,,
尼氏擬馬偕花;擬馬偕花,Asystasiella neesiana,,,,,
厚皮酒餅?,Atalantia dasycarpa,,,,,
馬氏濱藜,Atriplex maximowicziana,,,,,
臺灣濱藜,Atriplex nummularia,,,,,
桃葉珊瑚,Aucuba chinensis,,,,,
鳳凰山珊瑚,Aucuba chinensis var. fongfangshanensis,,,,,
東瀛珊瑚;青木,Aucuba japonica,,,,,
假澤蘭,Austroeupatorium inulifolium,,,,,
野燕麥,Avena fatua,,,,,
燕麥;蓧麥,Avena sativa,,,,,
木胡瓜,Averrhoa bilimbi,,,,,
楊桃,Averrhoa carambola,,,,,
海茄冬,Avicennia marina,,,,,
類地毯草,Axonopus affinis,,,,,
地毯草,Axonopus compressus,,,,,
帝皇草,Axonopus scoparius,,,,,
卡羅萊納過長沙,Bacopa carolineana,,,,,
過長沙;百克爬草,Bacopa monnieri,,,,,
桃椰子,Bactris gasipaes,,,,,
粗穗蛇菰,Balanophora fungosa,,,,,
筆頭蛇菰,Balanophora harlandii,,,,,
日本蛇菰,Balanophora japonica,,,,,
穗花蛇菰,Balanophora laxiflora,,,,,
海桐生蛇菰,Balanophora wrightii,,,,,
屋久島蛇菰,Balanophora yakushimensis,,,,,
茨竹;緬甸刺竹;貌子竹;印度?竹,Bambusa arundinacea,,,,,
竹變;吊絲球竹;大頭點竹;麻竹舅,Bambusa beecheyana var. pubescens,,,,,
長枝竹;桶仔竹;長枝仔竹,Bambusa dolichoclada,,,,,
火廣竹;火管竹;火吹竹,Bambusa dolichomerithalla,,,,,
烏腳綠;烏腳綠竹;四季竹;鬍腳綠;南洋竹,Bambusa edulis,,,,,
蓬萊竹;鳳尾竹;觀音竹;孝順竹,Bambusa multiplex,,,,,
綠竹;坭竹;烏藥竹;甜竹;毛綠竹,Bambusa oldhamii,,,,,
長毛八芝蘭竹;長毛米篩竹,Bambusa pachinensis var. hirsutissima,,,,,
八芝蘭竹;空涵竹;米篩竹;冇咸;矢竹,Bambusa pachinensis var. pachinensis,,,,,
刺竹;鬱竹;坭竹;?竹;莿竹,Bambusa stenostachya,,,,,
烏葉竹,Bambusa utilis,,,,,
佛竹;結頭竹;佛肚竹;葫蘆竹,Bambusa ventricosa,,,,,
金絲竹,Bambusa vulgaris var. striata,,,,,
泰山竹;龍頭竹;赤竹;銀竹,Bambusa vulgaris var. vulgaris,,,,,
高山山芥,Barbarea arisanense,,,,,
山芥菜,Barbarea orthoceras,,,,,
臺灣山芥菜,Barbarea taiwaniana,,,,,
棋盤腳樹,Barringtonia asiatica,,,,,
水茄苳,Barringtonia racemosa,,,,,
深山野牡丹,Barthea barthei,,,,,
落葵,Basella alba,,,,,
小冠薰;假零陵香,Basilicum polystachyon,,,,,
菊花木;九龍藤;龍鬚藤,Bauhinia championii,,,,,
羊蹄甲,Bauhinia purpurea,,,,,
白花羊紫荊,Bauhinia variegata,,,,,
豔紫荊,Bauhinia × blakeana,,,,,
圓果秋海棠,Begonia aptera,,,,,
南臺灣秋海棠,Begonia austrotaiwanensis,,,,,
九九峰秋海棠,Begonia bouffordii,,,,,
武威山秋海棠,Begonia buimontana,,,,,
溪頭秋海棠,Begonia chitoensis,,,,,
出雲山秋海棠,Begonia chuyunshanensis,,,,,
秋海棠,Begonia evansiana,,,,,
蘭嶼秋海棠,Begonia fenicis,,,,,
水鴨腳,Begonia formosana,,,,,
白斑水鴨腳,Begonia formosana f. albomaculata,,,,,
秋海棠,Begonia grandis,,,,,
巒大秋海棠,Begonia laciniata,,,,,
圓果秋海棠,Begonia longifolia,,,,,
鹿谷秋海棠,Begonia lukuana,,,,,
鐵十字秋海棠,Begonia masoniana,,,,,
南投秋海棠,Begonia nantoensis,,,,,
裂葉秋海棠,Begonia palmata,,,,,
坪林秋海棠,Begonia pinglinensis,,,,,
岩生秋海棠,Begonia ravenii,,,,,
四季秋海棠,Begonia semperflorens-cultorum,,,,,
臺灣秋海棠,Begonia taiwaniana,,,,,
藤枝秋海棠,Begonia tengchiana,,,,,
霧台秋海棠,Begonia wutaiana,,,,,
鍾氏秋海棠,Begonia × chungii,,,,,
臺北秋海棠,Begonia × taipeiensis,,,,,
瓊楠,Beilschmiedia erythrophloia,,,,,
華河瓊楠,Beilschmiedia tsangii,,,,,
雛菊,Bellis perennis,,,,,
毛葉鴨舌疝;假紫萬年青,Belosynapsis ciliata,,,,,
川上氏鴨舌疝,Belosynapsis kawakamii,,,,,
冬瓜,Benincasa hispida,,,,,
四照花,Benthamidia japonica var. chinensis,,,,,
長葉小檗,Berberis aristatoserrulata,,,,,
高山小檗,Berberis brevisepala,,,,,
清水山小檗,Berberis chingshuiensis,,,,,
早田氏小檗,Berberis hayatana,,,,,
臺灣小檗;川上氏小檗,Berberis kawakamii,,,,,
眠月小檗,Berberis mingetsensis,,,,,
森氏小檗,Berberis morii,,,,,
玉山小檗,Berberis morrisonensis,,,,,
南投小檗,Berberis nantoensis,,,,,
南臺灣小檗,Berberis pengii,,,,,
神武小檗,Berberis ravenii,,,,,
花蓮小檗,Berberis schaaliae,,,,,
太魯閣小檗,Berberis tarokoensis,,,,,
阿里山黃鱔藤,Berchemia arisanensis,,,,,
奮起湖黃鱔藤,Berchemia fenchifuensis,,,,,
臺灣黃鱔藤,Berchemia formosana,,,,,
小葉黃鱔藤,Berchemia lineata,,,,,
大黃鱔藤,Berchemia racemosa var. magna,,,,,
伯格草,Bergia ammannioides,,,,,
倍蕊田繁縷;倍蕊伯格草,Bergia serrata,,,,,
六翅木,Berrya ammonilla,,,,,
巴西栗,Bertholletia excelsa,,,,,
根菾菜;甜菜,Beta vulgaris,,,,,
鬼針,Bidens bipinnata,,,,,
鬼針舅,Bidens biternata,,,,,
小白花鬼針;鬼針草,Bidens pilosa var. minor,,,,,
白花鬼針,Bidens pilosa var. pilosa,,,,,
大花咸豐草;大花鬼針草;大花婆婆針;大白花鬼針;同治草;黏人草,Bidens pilosa var. radiata,,,,,
狼把草,Bidens tripartita,,,,,
紅筆鳳梨,Billbergia pyramidalis,,,,,
羞禮花,Biophytum sensitivum,,,,,
茄冬,Bischofia javanica,,,,,
矮紫金牛,Bladhia humilis,,,,,
柏拉木,Blastus cochinchinensis,,,,,
賽山藍,Blechum pyramidatum,,,,,
臺灣白及,Bletilla formosana,,,,,
薄葉艾納香,Blumea aromatica,,,,,
艾納香,Blumea balsamifera,,,,,
大花艾納香;藤艾納香,Blumea conspicua,,,,,
裏白艾納香;裡白艾納香,Blumea formosana,,,,,
紫花大艾,Blumea glomerata,,,,,
毛將軍,Blumea hieracifolia,,,,,
生毛將軍,Blumea lacera,,,,,
裂葉艾納香,Blumea laciniata,,,,,
走馬胎,Blumea lanceolaria,,,,,
狹葉艾納香,Blumea linearis,,,,,
柔毛艾納香,Blumea mollis,,,,,
臺灣艾納香,Blumea oblongifolia,,,,,
大頭艾納香,Blumea riparia var. megacephala,,,,,
瘤果簀藻,Blyxa aubertii,,,,,
臺灣簀藻,Blyxa echinosperma,,,,,
日本簀藻,Blyxa japonica,,,,,
序葉苧麻,Boehmeria clidemioides,,,,,
密花苧麻,Boehmeria densiflora,,,,,
臺灣苧麻,Boehmeria formosana,,,,,
花蓮苧麻,Boehmeria hwaliensis,,,,,
長穗苧麻,Boehmeria longispica,,,,,
苧麻,Boehmeria nivea,,,,,
青苧麻,Boehmeria nivea var. tenacissima,,,,,
華南苧麻,Boehmeria pilosiuscula,,,,,
畢祿山苧麻,Boehmeria pilushanensis,,,,,
長葉苧麻,Boehmeria wattersii,,,,,
臭節草,Boenninghausenia albiflora,,,,,
紅花黃細心,Boerhavia coccinea,,,,,
直立黃細心,Boerhavia erecta,,,,,
光果黃細心;黃細心,Boerhavia glabrata,,,,,
花蓮黃細心,Boerhavia hualienense,,,,,
黃細心,Boerhavia repens,,,,,
扁稈藨草;雲林莞草,Bolboschoenus planiculmis,,,,,
木棉,Bombax malabarica,,,,,
小破得力,Borreria laevis,,,,,
丁座草,Boschniakia himalaica,,,,,
毛藥花,Bostrychanthera deflexa,,,,,
歧穗臭根子草,Bothriochloa glabra,,,,,
臭根子草,Bothriochloa intermedia,,,,,
白羊草,Bothriochloa ischaemum,,,,,
大穗孔穎草,Bothriochloa macera,,,,,
細纍子草,Bothriospermum zeylanicum,,,,,
庚大利,Bouea mocrophylla,,,,,
九重葛,Bougainvillea spectabilis,,,,,
信號草,Brachiaria brizantha,,,,,
巴拉草,Brachiaria mutica,,,,,
四生臂形草,Brachiaria subquadripara,,,,,
毛臂形草,Brachiaria villosa,,,,,
寬唇苞葉蘭,Brachycorythis galeandra,,,,,
北大武苞葉蘭,Brachycorythis peitawuensis,,,,,
川上短柄草,Brachypodium kawakamii,,,,,
基隆短柄草,Brachypodium sylvaticum,,,,,
蓴;蓴菜,Brasenia schreberi,,,,,
澳洲鴨腳木,Brassaia actinophylla,,,,,
油菜,Brassica campestris,,,,,
青梗白菜,Brassica campestris subsp. chinensis,,,,,
小白菜,Brassica campestris subsp. chinensis var. communis,,,,,
小菘菜,Brassica campestris subsp. chinensis var. komatsuna,,,,,
紅菜苔,Brassica campestris subsp. chinensis var. purpuria,,,,,
結球白菜,Brassica campestris subsp. pekinensis,,,,,
千寶菜;京菜,Brassica juncea var. japonica,,,,,
甘藍,Brassica oleracea var. capitata,,,,,
蕪菁,Brassica rapa,,,,,
都蘭山金石榴,Bredia dulanica,,,,,
小金石榴,Bredia gibba,,,,,
毛布勒德藤,Bredia hirsuta,,,,,
圓葉布勒德藤,Bredia hirsuta var. rotundifolia,,,,,
過路驚;來社山布勒德藤,Bredia laisherana,,,,,
金石榴,Bredia oldhamii,,,,,
垂花布勒德木,Bredia penduliflora,,,,,
布勒德藤,Bredia scandens,,,,,
鐘萼木,Bretschneidera sinensis,,,,,
黑面神;青丸木,Breynia fruticosa,,,,,
小紅仔珠;小葉黑面神,Breynia officinalis var. accrescens,,,,,
紅仔珠,Breynia officinalis var. officinalis,,,,,
刺杜密;刺楠,Bridelia balansae,,,,,
土密樹,Bridelia tomentosa,,,,,
銀鱗草;銀鱗茅,Briza minor,,,,,
長芒扁雀麥;顯脊雀麥,Bromus carinatus,,,,,
大扁雀麥;扁穗雀麥,Bromus catharticus,,,,,
歐雀麥;黑麥狀雀麥,Bromus commutatus,,,,,
硬雀麥,Bromus diandrus,,,,,
臺灣雀麥,Bromus formosanus,,,,,
毛雀麥,Bromus hordeaceus,,,,,
玉山雀麥,Bromus morrisonensis,,,,,
短毛雀麥,Bromus pubescens,,,,,
小構樹,Broussonetia monoica,,,,,
構樹,Broussonetia papyrifera,,,,,
鴉膽子,Brucea javanica,,,,,
大花曼陀羅,Brugmansia suaveolens,,,,,
紅茄苳,Bruguiera gymnorrhiza,,,,,
番茉莉,Brunfelsia hopeana,,,,,
變色茉莉,Brunfelsia uniflora,,,,,
落地生根,Bryophyllum pinnatum,,,,,
山羨子,Buchanania arborescens,,,,,
揚波;白埔姜;駁骨丹,Buddleja asiatica,,,,,
彎花醉魚木,Buddleja curviflora,,,,,
紋星蘭;高士佛豆蘭,Bulbophyllum affine,,,,,
白毛捲瓣蘭,Bulbophyllum albociliatum,,,,,
杉?溪捲瓣?;杉?溪捲瓣?,Bulbophyllum albociliatum var. shanlinshiense,,,,,
小豆蘭;細豆蘭,Bulbophyllum aureolabellum,,,,,
短梗豆蘭,Bulbophyllum brevipedunculatum,,,,,
溪頭豆蘭,Bulbophyllum chitouense,,,,,
毛緣萼豆蘭,Bulbophyllum ciliisepalum,,,,,
斷尾捲瓣?,Bulbophyllum confragosum,,,,,
狹萼豆蘭,Bulbophyllum drymoglossum,,,,,
長軸捲瓣蘭,Bulbophyllum electrinum,,,,,
無毛捲瓣蘭,Bulbophyllum electrinum var. calvum,,,,,
長軸捲瓣蘭,Bulbophyllum electrinum var. sui,,,,,
流蘇豆蘭,Bulbophyllum fimbriperianthium,,,,,
臺灣豆蘭,Bulbophyllum formosanum,,,,,
花蓮捲瓣蘭,Bulbophyllum hirundinis,,,,,
張氏捲瓣?,Bulbophyllum hirundinis var.puniceum,,,,,
穗花捲瓣蘭;瓶壺卷瓣蘭,Bulbophyllum insulsoides,,,,,
日本捲瓣蘭,Bulbophyllum japonicum,,,,,
觀霧豆蘭,Bulbophyllum kuanwuense,,,,,
克森豆蘭,Bulbophyllum kuanwuensis var. luchuensis,,,,,
石仙桃豆蘭,Bulbophyllum kuanwuensis var. rutilum,,,,,
烏來捲瓣蘭,Bulbophyllum macraei,,,,,
紫紋捲瓣蘭;邵氏卷瓣蘭;細柄石豆蘭,Bulbophyllum melanoglossum,,,,,
毛藥捲瓣蘭;溪頭捲瓣蘭,Bulbophyllum omerandrum,,,,,
白花豆蘭;非豆蘭,Bulbophyllum pauciflorum,,,,,
黃花捲瓣蘭,Bulbophyllum pectenveneris,,,,,
阿里山豆蘭,Bulbophyllum pectinatum,,,,,
屏東豆蘭,Bulbophyllum pingtungense,,,,,
黃萼捲瓣蘭,Bulbophyllum retusiusculum,,,,,
紅心豆蘭,Bulbophyllum rubrolabellum,,,,,
鸛冠蘭,Bulbophyllum setaceum,,,,,
臺灣捲瓣蘭,Bulbophyllum taiwanense,,,,,
金枝雙花豆蘭,Bulbophyllum tenuislinguae,,,,,
小葉豆蘭,Bulbophyllum tokioi,,,,,
傘花捲瓣蘭,Bulbophyllum umbellatum,,,,,
毛球柱草;高雄球柱草,Bulbostylis barbata subsp. pulchella,,,,,
球柱草;絲葉球柱草,Bulbostylis densa subsp. afromontana,,,,,
高氏柴胡;臺灣柴胡,Bupleurum kaoi,,,,,
頭花水玉簪,Burmannia championii,,,,,
透明水玉簪,Burmannia cryptopetala,,,,,
紫水玉簪,Burmannia itoana,,,,,
琉球水玉簪;寬翅水玉簪,Burmannia liukiuensis,,,,,
凍子椰子,Butia capitata,,,,,
琉球黃楊,Buxus liukiuensis,,,,,
黃楊,Buxus microphylla subsp. sinica,,,,,
太魯閣黃楊,Buxus microphylla subsp. sinica var. tarokoensis,,,,,
白花穗蓴,Cabomba caroliniana,,,,,
紅花穗蓴,Cabomba piauhyensis,,,,,
老虎心,Caesalpinia bonduc,,,,,
搭肉刺,Caesalpinia crista,,,,,
雲實,Caesalpinia decapetala,,,,,
蓮實藤,Caesalpinia minax,,,,,
紅蝴蝶;番蝴蝶;洋金鳳;黃蝴蝶,Caesalpinia pulcherrima,,,,,
木豆,Cajanus cajan,,,,,
蔓蟲豆;蔓草蟲豆,Cajanus scarabaeoides,,,,,
彩葉芋,Caladium × hortulanum,,,,,
拂子茅,Calamagrostis epigeios,,,,,
土藤,Calamus beccarii,,,,,
臺灣水藤,Calamus formosanus,,,,,
黃藤,Calamus quiquesetinervius,,,,,
蘭嶼省藤,Calamus siphonospathus,,,,,
輻形根節蘭,Calanthe actinomorpha,,,,,
細點根節蘭,Calanthe alismifolia,,,,,
羽唇根節蘭,Calanthe alpina,,,,,
矮根節蘭,Calanthe angustifolia,,,,,
尾唇根節蘭,Calanthe arcuata,,,,,
阿里山根節蘭,Calanthe arisanensis,,,,,
翹距根節蘭;闊葉根節蘭,Calanthe aristulifera,,,,,
棒距根節蘭,Calanthe clavata,,,,,
長葉根節蘭,Calanthe davidii,,,,,
竹葉根節蘭,Calanthe densiflora,,,,,
細花根節蘭,Calanthe graciliflora,,,,,
連翹根節蘭,Calanthe lyroglossa,,,,,
反捲根節蘭;反瓣蝦脊蘭,Calanthe puberula,,,,,
黃根節蘭,Calanthe sieboldii,,,,,
臺灣根節蘭;二列葉蝦脊蘭,Calanthe speciosa,,,,,
長距根節蘭;白花長距蝦脊蘭,Calanthe sylvatica,,,,,
三板根節蘭;繡邊根節蘭,Calanthe tricarinata,,,,,
白鶴蘭,Calanthe triplicata,,,,,
